GlobalRank,TldRank,Domain,TLD,RefSubNets,RefIPs,IDN_Domain,IDN_TLD,PrevGlobalRank,PrevTldRank,PrevRefSubNets,PrevRefIPs
1,1,google.com,com,508796,2692297,google.com,com,1,1,508223,2689763
2,2,facebook.com,com,505461,2822509,facebook.com,com,2,2,504917,2818996
3,3,youtube.com,com,458717,2316105,youtube.com,com,3,3,458181,2313107
4,4,twitter.com,com,449537,2282711,twitter.com,com,4,4,448937,2279829
5,5,instagram.com,com,379152,1846039,instagram.com,com,5,5,378608,1843108
6,6,linkedin.com,com,357676,1555167,linkedin.com,com,6,6,357233,1553296
7,7,microsoft.com,com,298533,931152,microsoft.com,com,7,7,298116,930463
8,8,apple.com,com,298515,1030848,apple.com,com,8,8,297962,1029299
9,1,wikipedia.org,org,286918,1087771,wikipedia.org,org,9,1,286353,1086119
10,2,wordpress.org,org,280607,1233715,wordpress.org,org,10,2,280411,1233336
11,9,googletagmanager.com,com,260550,917575,googletagmanager.com,com,11,9,260149,915512
12,1,youtu.be,be,251519,888775,youtu.be,be,12,1,251002,887229
13,3,en.wikipedia.org,org,240538,812783,en.wikipedia.org,org,13,3,240163,811818
14,10,pinterest.com,com,234566,975967,pinterest.com,com,14,10,234261,974518
15,11,play.google.com,com,228561,687653,play.google.com,com,15,11,228068,686705
16,12,vimeo.com,com,224387,837544,vimeo.com,com,16,12,224058,836399
17,13,plus.google.com,com,221705,862111,plus.google.com,com,17,13,221426,861608
18,14,maps.google.com,com,215399,784886,maps.google.com,com,18,14,215183,783945
19,1,goo.gl,gl,209814,715231,goo.gl,gl,19,1,209382,714542
20,15,github.com,com,206951,564275,github.com,com,20,15,207002,565396
21,16,adobe.com,com,204503,599928,adobe.com,com,21,16,204060,599775
22,1,bit.ly,ly,204162,651311,bit.ly,ly,22,1,203784,650596
23,17,wordpress.com,com,200634,678869,wordpress.com,com,23,17,200336,677815
24,18,docs.google.com,com,193472,601170,docs.google.com,com,24,18,193218,600395
25,19,blogspot.com,com,190234,631789,blogspot.com,com,25,19,189942,631274
26,20,itunes.apple.com,com,189837,517831,itunes.apple.com,com,26,20,189453,517764
27,21,player.vimeo.com,com,186647,657388,player.vimeo.com,com,27,21,186409,656848
28,22,amazon.com,com,186156,583759,amazon.com,com,29,23,185723,583135
29,23,macromedia.com,com,186061,620418,macromedia.com,com,28,22,186032,621209
30,4,mozilla.org,org,173010,520923,mozilla.org,org,30,4,173054,522103
31,24,consortiumeducation.com,com,165711,551936,consortiumeducation.com,com,31,24,165653,552567
32,25,download.macromedia.com,com,164752,539701,download.macromedia.com,com,32,25,164766,540509
33,26,yahoo.com,com,162024,450053,yahoo.com,com,33,26,161784,449985
34,27,drive.google.com,com,161618,471481,drive.google.com,com,34,27,161540,471658
35,28,apps.apple.com,com,159678,398768,apps.apple.com,com,35,28,159344,398588
36,29,tumblr.com,com,155820,524759,tumblr.com,com,36,29,155621,524611
37,1,europa.eu,eu,148666,501062,europa.eu,eu,37,1,148366,500989
38,30,whatsapp.com,com,145938,525435,whatsapp.com,com,38,30,145812,524967
39,31,flickr.com,com,140708,419556,flickr.com,com,39,31,140434,419719
40,32,gravatar.com,com,140230,473975,gravatar.com,com,40,32,140220,474329
41,33,reddit.com,com,135647,431964,reddit.com,com,41,33,135605,431874
42,1,nih.gov,gov,133394,368847,nih.gov,gov,43,1,133185,369194
43,34,qq.com,com,133256,843879,qq.com,com,42,34,133202,844566
44,35,nytimes.com,com,133022,377373,nytimes.com,com,44,35,132719,377429
45,36,support.microsoft.com,com,131186,351415,support.microsoft.com,com,45,36,131039,351706
46,37,amazonaws.com,com,129636,311602,amazonaws.com,com,47,38,129233,311514
47,38,sites.google.com,com,129499,335046,sites.google.com,com,46,37,129313,335295
48,39,api.whatsapp.com,com,128478,454969,api.whatsapp.com,com,48,39,128269,454614
49,5,apache.org,org,127906,256007,apache.org,org,49,5,127847,256226
50,40,soundcloud.com,com,124103,379011,soundcloud.com,com,50,40,123881,379241
51,6,w3.org,org,123111,279335,w3.org,org,51,6,122991,279696
52,41,forbes.com,com,122294,325066,forbes.com,com,53,42,122014,324992
53,42,policies.google.com,com,122227,412500,policies.google.com,com,52,41,122092,412230
54,1,github.io,io,121832,279149,github.io,io,54,1,121510,279169
55,43,medium.com,com,121379,317699,medium.com,com,55,43,121063,317360
56,1,t.co,co,120303,355390,t.co,co,56,1,120093,355335
57,44,support.apple.com,com,119139,352948,support.apple.com,com,57,44,118592,352707
58,2,ec.europa.eu,eu,117334,380008,ec.europa.eu,eu,59,2,116978,379831
59,1,zoom.us,us,117323,297797,zoom.us,us,58,1,117031,297943
60,45,baidu.com,com,115211,636794,baidu.com,com,60,45,115163,637876
61,7,archive.org,org,113367,300853,archive.org,org,62,7,113175,301156
62,2,www.ncbi.nlm.nih.gov,gov,113317,298128,www.ncbi.nlm.nih.gov,gov,63,2,113153,298350
63,1,sourceforge.net,net,113264,241335,sourceforge.net,net,61,1,113249,241812
64,46,theguardian.com,com,112197,306787,theguardian.com,com,64,46,112004,306915
65,47,spotify.com,com,112082,326366,spotify.com,com,65,47,111912,326373
66,1,forms.gle,gle,111825,282962,forms.gle,gle,66,1,111738,283324
67,48,cnn.com,com,111275,292049,cnn.com,com,67,48,111020,292320
68,1,miit.gov.cn,cn,110561,819311,miit.gov.cn,cn,68,1,110475,819609
69,8,creativecommons.org,org,109888,266851,creativecommons.org,org,69,8,109673,266929
70,49,dropbox.com,com,108432,274097,dropbox.com,com,70,49,108306,274232
71,1,who.int,int,107218,261376,who.int,int,71,1,106866,261525
72,50,wixsite.com,com,106326,276510,wixsite.com,com,72,50,106125,276892
73,1,bbc.co.uk,uk,105472,278674,bbc.co.uk,uk,73,1,105411,279072
74,51,paypal.com,com,103943,304010,paypal.com,com,74,51,103885,304225
75,52,issuu.com,com,102948,262738,issuu.com,com,76,53,102806,262944
76,53,vk.com,com,102947,358343,vk.com,com,75,52,102956,358524
77,2,beian.miit.gov.cn,cn,102152,688807,beian.miit.gov.cn,cn,77,2,102076,688926
78,54,weebly.com,com,101850,260961,weebly.com,com,78,54,101740,261430
79,3,cdc.gov,gov,101563,266866,cdc.gov,gov,79,3,101454,267236
80,55,open.spotify.com,com,101197,286683,open.spotify.com,com,80,55,101045,286864
81,56,l.facebook.com,com,99838,280215,l.facebook.com,com,81,56,99672,280625
82,57,cloudflare.com,com,99349,294365,cloudflare.com,com,82,57,98607,292222
83,58,bbc.com,com,98600,253734,bbc.com,com,83,58,98376,253782
84,59,tinyurl.com,com,97138,238054,tinyurl.com,com,84,59,97048,238611
85,60,sciencedirect.com,com,96580,231670,sciencedirect.com,com,85,60,96325,231724
86,61,reuters.com,com,95863,236281,reuters.com,com,86,61,95583,236625
87,62,washingtonpost.com,com,94523,242223,washingtonpost.com,com,87,62,94378,242567
88,1,t.me,me,93864,285474,t.me,me,89,1,93740,285275
89,9,httpd.apache.org,org,93711,175475,httpd.apache.org,org,90,9,93726,175765
90,63,youtube-nocookie.com,com,93496,247240,youtube-nocookie.com,com,91,64,93316,247168
91,64,oracle.com,com,93355,182140,oracle.com,com,88,63,94107,184508
92,65,opera.com,com,93236,251950,opera.com,com,92,65,93049,252164
93,2,wa.me,me,92854,298796,wa.me,me,93,2,92673,298758
94,1,harvard.edu,edu,92307,221040,harvard.edu,edu,94,1,92104,221281
